Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Hair Mechanic's Salon,3356 W Chicago,Chicago Central Park,05/16/2013,$26406.71,$13500.00,"storefront, finish plumbing, finish electrical, doors, painting, and bathroom renovation"
Int Traditional Karate ,5945 W Irving Park Rd,West Irving Park,05/16/2013,$74500.00,$55875.00,"demolition, carpentry, stairs, doors, windows, plumbing, plumbing fixtures, HVAC, electrical"
West Humboldt Park Family & Community Development Council ,3506 W. Chicago Ave. ,Chicago Central Park,05/16/2013,$70602.00,$37125.00,"a new storefront, carpentry, framing, drywall, ceilings, floors, flooring, painting, HVAC system, electrical, lighting, and plumbing"
"Ethiopian Diamond Restaurant, Inc.",6116-20 N Broadway,Hollywood/Sheridan,05/17/2013,$73000.00,$54750.00,"demolition, carpentry, tile work, painting, drop ceiling, masonry opening, wainscoting, drywall, plumbing, and GC services"
Singer Factory Distributor,4914 W Irving Park Rd,Portage Park,05/17/2013,$81902.48,$61426.86,"excavation and masonry, storefront glazing, awning, electrical to include replacing fixtures and exterior lighting, HVAC rooftop unit, carpeting, and painting"
"Taazadirect, LLC",9229 S. Baltimore Ave.,Commercial Avenue,05/17/2013,$304000.00,$150000.00,"demolition, replacement of refrigerant valves, new ductwork, installation of OSHA-required emergency shower, exhaust fans, new flashing for roof and associated repairs, new door, new fresh air intake for exhaust system, and repairs to walls and floors"
Astro Insulation Inc,4505 W Armitage,Northwest Industrial Corridor,05/20/2013,$94094.00,$23523.50,"concrete work, plumbing, electrical and HVAC, framing, masonry, insulation and radiant heat work"
Beverly Professional Building,10540 S Western,Western Rock Island,05/21/2013,$13800.00,$6900.00,installation of a “life jacket” system in the building elevator pit
Bu Ung Kang,5931-39 W North,Austin Commercial,06/06/2013,$142486.64,$100000.00,"storefront renovations for all units including new aluminum framing, glass doors and windows, masonry repair including tuckpointing, new limestone, and terracotta preservation, carpentry work associated with new storefronts, floor/joist repairs, concrete and excavation work, electrical, HVAC, and architectural soft costs"
Cross Town Fitness ,1029 W. Madison ,Near West,06/18/2013,$105642.23,$50000.00,"HVAC system, plumbing system, electrical work, cabinetry and countertops, carpentry, tile work, drywall, painting, glass work, masonry, fire sprinklers, and handicap ramp"
Potomac Cleaners,1300 N Western Ave,Humboldt Park,06/18/2013,$152005.00,$100000.00,"storefront renovations including windows, doors, carpentry and framing, tuckpointing and masonry work, and plumbing"
Gateway to Learning,4925 N Lincoln,Western Ave North,06/19/2013,$25593.80,$19195.35,"parking lot improvements (demolition, grinding, catch basins, concrete, asphalt, wheel stops, striping)"
Luetenah Reed,1138 S. California Ave.,Midwest,06/19/2013,$14150.00,$10612.50,"masonry repairs to the façade, permit, and architectural expenses"
Roberts Touch B and Y Salon,1606 S. Pulaski Rd. ,Midwest,06/19/2013,$20180.00,$15135.00,"new drywall, ceiling lighting, fans, electrical, furnace, siding and insulation"
Smitten Boutique LLC,1047 W Madison,Near West,06/19/2013,$67614.25,$50000.00,"new storefront system, flooring, ceiling, plumbing, electrical and HVAC work and fixtures, new light fixtures, carpentry, drywall and framing work, cabinetry, trim work, painting and finishing"
Norwood Paper,7001 W. 60th St.,Harlem Industrial,06/20/2013,$87863.76,$43391.88,"repairs to the dock pit, new dock door, installation of high speed automatic doors in warehouse, a heater for the garage, roofing work, installation of dust collection systems, associated electrical work, and office carpeting"
Phoenix Bean LLC,5438 North Broadway,Bryn Maw/Broadway,06/20/2013,$109450.00,$54725.00,"new roofing to include a complete tear-off, replace decking as needed, new flashings, remove skylights, apply a reflective aluminum coating, storefront renovation, and masonry. The project will also include interior renovations including framing, walls, doors, stainless steel/FRP wall coverings, HVAC system, partial plumbing, partial electrical, concrete flooring, and painting"
Greenlawn Landscaping,3915 W. Devon Ave.,Peterson/Pulaski,06/21/2013,$4719.00,$3539.25,"Installation of new window, downpayment for fence replacement"
Demera Ethiopian Restaurant,4801 N Broadway,Lawrence/Broadway,06/26/2013,$125296.00,$92250.00,"concrete slab in the kitchen, plumbing, rough and finish carpentry, HVAC to include exhaust system, range hood, drywall, painting, and electrical"
Michael Manning,8706 S Commercial,Commercial Avenue,06/26/2013,$119878.89,$89909.17,"roof, demolition, façade, drywall, clean-up, materials, GC services, electrical, plumbing, HVAC, architectural services"
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,06/26/2013,$9948.00,$7461.00,new doors
Sean O'Neill,3452-6 N. Pulaski Rd.,Avondale,06/26/2013,$35521.78,$26641.34,"flooring, demolition, painting, garage drywall, permit expenses, steel material expenses, masonry work"
Floyd Bolden,2417 W Warren,Midwest,06/27/2013,$67420.73,$50565.55,"removal and replacement of existing bricks on front of building, remove existing wooden porch and steps from front face of building and replace with wrought iron porch and steps, install wrought iron balcony on first and second floors, replace wooden back porch and steps with wrought iron, and tuck-pointing"
"Icon Project Roc, LLC dba Old Town Social",455 W. North Ave.,Near North,06/27/2013,$39100.00,$19550.00,"roofing, gutters and downspouts, tuckpointing"
Phillip Myoung Yu,11151-53 S Michigan Ave,Roseland/Michigan,06/27/2013,$159925.00,$104700.00,"repairs to ceilings, floors, windows, build-out room for HVAC, replace floor and rebar, roofing, painting, repair walls, build-out new rooms in basement for fire exit, wall sealant, level floor, tuckpointing, remediate basement and second floors from long term exposure damage, HVAC parts and labor, ductwork, louver, gas pipe, exhaust fan, install chimney, electrical, lighting, plumbing, and bathroom renovations"
Int Traditional Karate ,5945 W Irving Park Rd,West Irving Park,06/28/2013,$25000.00,$18750.00,"plumbing, concrete, carpentry, insulation, masonry, roofing, siding/soffit/gutters, plumbing fixtures, HVAC, drywall"
Rasenick's,3940 N Cicero Ave,Portage Park,07/01/2013,$39658.37,$29743.78,"installation of new sign, new storefront system, new entry door in the rear, masonry and tuckpointing work"
"6500 Western, LLC / Taxi Town, Inc.",6500 N. Western Ave.,Touhy/Western,07/10/2013,$79500.00,$39750.00,epoxy flooring system
Wholly Basil LLC d/b/a Noni,5422-24 N. Broadway,Bryn Mawr/Broadway,07/11/2013,$122300.00,$89465.00,"flooring (structural joists), rough framing, HVAC, rough electrical and plumbing (water/sewer), concrete work and roofing"
"Classic Vending, Inc. dba Chicago Coffees & Teas",2155 S. Carpenter St.,Pilsen ,07/12/2013,$170607.30,$85303.65,"oncrete work, loading dock renovations, demolition, framing, doors, masonry repairs, GC services, plumbing, electrical, concrete work to loading dock, energy efficient HVAC
structural engineering services, architectural expenses, engineering services, permit expenses"
Antoinette Patterson,"4386 W. Ogden, 4100 W. Ogden",Ogden/Pulaski,07/15/2013,$55000.00,$41250.00,"awnings and signage, roofing, interior and exterior windows, doors, flooring, drywall and trim work, electrical, plumbing and bathroom finishing, removal and replacement of porch and stairwell"
Seward & Szczygiel P C ,4754-6 N Milwaukee,Jefferson Park,07/15/2013,$22830.00,$17122.50,"HVAC system, electrical work, lighting, and exit signage for 4754 N. Milwaukee"
"Mob Town, Inc.",2620 W Fletcher St,Addison South,07/17/2013,$31068.75,$23301.56,"electrical, lighting, painting, permit expenses"
Franconello Restaurant ,10222 S. Western ,Western/Rock Island,07/23/2013,$133977.28,$100000.00,carpentry and electrical work
C & O Auto Rebuilders,10554 S Michigan Ave,Roseland/Michigan,07/24/2013,$101971.00,$50985.50,"exterior masonry wall repairs, roofing, permanent security system work, permit expenses, architectural expenses, survey expenses"
Gateway to Learning,4925 N Lincoln,Western Ave North,07/24/2013,$16322.82,$12242.12,"labor and material to open wall for new door and double window: demolition, new window and door, concrete, exit signage, electrical, sidewall, glaze glass, interior repairs, clean-up, canopy, and permit expenses)"
Bridgeport Pasty,3142 S. Morgan,35th/Halsted,08/02/2013,$30990.66,$23243.00,"balance of reimbursement for previously-completed work items, installing solar panels on the roof of property"
Int Traditional Karate ,5945 W Irving Park Rd,West Irving Park,08/02/2013,$72116.00,$54087.00,"trim carpentry, stairs, doors, windows, plumbing fixtures, bathroom cabinetry, HVAC, electrical, drywall, tile work, flooring"
Int Traditional Karate ,5945 W Irving Park Rd,West Irving Park,08/02/2013,$28384.00,$21288.00,"balance of remodeling expenses: trim carpentry, stairs, doors, windows, plumbing fixtures, bathroom cabinetry, HVAC, electrical, drywall, tile work, flooring"
See Spot Run Kennel Inc,2756 W Fulton,Kinzie Industrial Corridor,08/05/2013,$91286.08,$68464.56,"HVAC system, windows, and signage"
State Farm Insurance Company,5616 W. Montrose Ave.,West Irving Park,08/05/2013,$9100.00,$6825.00,"removal of grass and sidewalk, installation of stone and concrete for rebuilt sidewalk and new concrete pads for dumpster area and parking"
Louis' Groceries,7604 S. Cottage Grove ,87th Cottage Grove,08/06/2013,$81392.47,$38562.16,"complete renovation including new building systems (HVAC, electrical, and plumbing), rough and finish carpentry, drywall, doors, flooring, bathroom and kitchen build-out, cabinetry, countertops, and painting"
"ABI Financial Services, Inc.",4806 N. Milwaukee Ave.,Jefferson Park,08/08/2013,$44939.00,$33704.25,"balance of renovations: drywall, trim work, doors, cabinets, plumbing fixtures, bathroom renovations, electrical fixtures, tile work, painting"
Safran Metals Inc,1685 N Elston,North Branch South,08/12/2013,$44378.18,$22189.09,"energy efficient lighting retrofit, fan, tile, window replacement, dock levelers"
Division St Business Development Association,2459 W Division,Humboldt Park,08/14/2013,$160950.00,$100000.00,"roofing, skylights, gutters, masonry, tuck-pointing, water-proofing all brick area, acid wash, and a solar photovoltaic system"
Seeds of Joy Daycare,850 W. Eastwood,Wilson Yard,08/14/2013,$27950.00,$20962.50,"flooring, plumbing, and kitchen rehab to include cabinets and countertops"
Luetenah Reed,1138 S. California Ave.,Midwest,08/16/2013,$9999.33,$7499.50,removal and replacement of storefront system at 1138 S. California
Zam's Hope Community Resource Center, 6401 N. Artesian ,Devon Western,08/16/2013,$43243.68,$32004.81,"finish plumbing, finish HVAC work, painting, lighting, drop ceiling and kitchen hood"
"Chicago Booth Manufacturing, Inc.",5000 W Roosevelt Rd,Roosevelt/Cicero,08/19/2013,$29342.00,$14671.00,"electrical system (includes associated demolition and ceiling work), energy efficient lighting"
Sarah's Circle,4836 N. Sheridan Rd.,Lawrence/Broadway,09/04/2013,$571782.50,$100000.00,"excavation and demolition, structural steel, framing and carpentry, drywall and insulation, flooring, rough and finish plumbing, HVAC and installation of a LULA (limited use, limited access) elevator"
"Ethiopian Diamond Restaurant, Inc.",6116-20 N Broadway,Hollywood/Sheridan,09/04/2013,$121735.25,$88800.00,"balance of renovations: exterior wall tiles for façade, demolition of steel sign pylon and associated masonry repairs, general demolition, build-out new entryway/reception area, level cement floors and install new underlayments and floor tiles, wainscoting, remove carpeting, build-out new walls, build-out new storage area, build-out new busser station, bathroom renovations, finish carpentry, painting, new lighting, create new opening between commercial spaces for expanded dining room, framing and drywall for walls for expanded dining room, doors, electrical, exit signage, plumbing (bathrooms, sinks, floor drains, fixtures), and HVAC, electrical, architectural and permit expenses"
Greenlawn Landscaping,3915 W. Devon Ave.,Peterson/Pulaski,09/05/2013,$3979.00,$2984.25,Installation of welded wire fencing
"Karmina Jewlery, Inc.",3610 W. Irving Park Rd.,Irving Park/Elston,09/06/2013,$17600.00,$13200.00,removal of and installation of new roof
Hair Mechanic's Salon,3356 W Chicago,Chicago Central Park,09/09/2013,$26406.71,$6305.03,"storefront, plumbing, electrical, doors, drywall, painting, flooring, HVAC, framing. "
Pratt Beach Apartments LLC,6760 N Sheridan Rd,Devon/Sheridan,09/12/2013,$66913.00,$50184.75,"Doors, HVAC, plumbing, security, tuck-pointing. "
Accurate Real Estate Appraisals Group Ltd,512-14 E 47th St,47th/King,09/18/2013,$207600.00,$150000.00,"roofing work, parapet wall repairs, roof decking and joists replacements, plumbing work and fixtures, flooring and tiling, cabinetry, HVAC, electrical work and architectural soft costs"
"Priority Plumbing, Inc.","2542 W. Division, Inc.",Humboldt Park,09/18/2013,$30000.00,$22500.00,"rough plumbing, rough electrical"
Safa Moayyed,2525 W. North Ave.,Humboldt Park,09/18/2013,$78290.50,$50497.37,"roofing work, installation of new awnings and exterior lighting, and installation of security camera system"
Wiremaster's Inc. dba The W/M Display Group ,1040 W. 40th Street,Stockyard Annex,09/20/2013,$51250.00,$25625.00,installation of glass block windows at 11 openings and vents
ABC Business Forms,5654 N. Elston Ave.,Elston/Armstrong,09/26/2013,$40350.00,$20175.00,roofing repairs and installation of metal cladding around exterior windows
Automatic Anodizing,3340 W. Newport Ave.,Kennedy/Kimball,09/27/2013,$193418.00,$96709.00,"removal of old and installation of new high efficiency, high pressure, steam boiler with associated HVAC and electrical work"
"D'Estee, Inc.",4519-25 S. King Dr.,47th/King,09/27/2013,$77552.00,$58164.00,"rough and finish carpentry, installation of interior doors, drywall and insulation work, HVAC, plumbing, and electrical work, painting and finishing"
"Northview Cleaners, Inc.",2644 W. Touhy Ave.,Touhy/Western,09/27/2013,$151992.00,$100000.00,"removal and replacement of exterior canopy over drive way, HVAC work, installation of iron fencing, concrete and paving work, masonry work and installation of exterior door at rear, installation of sliding entry door and façade work, signage, and interior renovations including plumbing, electrical, concrete work, and soft costs including architectural fees"
"Restoring the Seed, Inc.",3501 E 95th St,Ewing Avenue,09/27/2013,$14600.00,$10950.00,fire alarm system
"Celadon Holdings, LLC / Celadon-Pulaski, LLC",1015 N. Pulaski Rd.,Chicago Central Park,09/30/2013,$198857.88,$144200.00,"renovations to commercial spaces at 1015-23 N. Pulaski: bathroom renovations, plumbing fixtures, light fixtures, GC services, demolition, rough carpentry, trim carpentry, drywall, ceilings, concrete, insulation, aluminum doors and frames, flooring, painting, plumbing, structural steel, masonry, HVAC, electrical"
"D'Estee, Inc.",4519-25 S. King Dr.,47th/King,09/30/2013,$73189.00,$41836.00,"HVAC work, painting, doors and case work, flooring, finish carpentry and electrical work"
"Karmina Jewlery, Inc.",3610 W. Irving Park Rd.,Irving Park/Elston,09/30/2013,$13885.00,$10413.75,Masonry work including rebuilding of parapet walls and tuckpointing of chimney
Pancho III Corporation,2200-2202 N. California,Fullerton/Milwaukee,09/30/2013,$63220.00,$47415.00,"HVAC, electrical, installation of new windows and doors, and roofing repairs"
"Saratoga USA, Inc.",4422 N. Clark St.,Clark/Montrose,09/30/2013,$123573.50,$92680.13,"interior remodeling, GC services, materials expenses, signage, electrical, HVAC, plumbing, permanent security system items,
carpentry, incidental roofing patch for HVAC improvements, architectural services, signage. and awning"
State Farm Insurance ,6601 S. Pulaski Rd. ,63rd/Pulaski,09/30/2013,$16250.00,$12187.50,roofing
"Carlyza, LLC / Kiddieland Center for Educational Excellence, Inc.",3809 N. Cicero Ave.,Portage Park,10/01/2013,$195000.00,$100000.00,acquisition of adjacent property
"Diana's Daycare Center, LLC",5961 N. Clark St.,Clark/Ridge,10/01/2013,$52900.00,$33333.33,"build-out for child care functionality: HVAC, electrical, plumbing, framing, GC services"
"HP53, LLC",1466 E. 53rd St.,53rd Street,10/01/2013,$152460.00,$31229.33,"build out for a new restaurant including rough plumbing, HVAC and exhaust hoods, rough electrical, FRP systems, carpentry and framing and flooring"
PKP Associates Ltd. / Gabriel Enviornmental,1421 N. Elston Ave.,North Branch South,10/01/2013,$133401.40,$58548.54,photovoltaic solar panel system
"N. Henry and Son, Inc.",6450 W. Cortland St.,Galewood/Armitage,10/02/2013,$87925.00,$43962.50,"removal and replacement of five HVAC units with associated duct work, electrical and gas line repairs"
State Farm Insurance Company,5616 W. Montrose Ave.,West Irving Park,10/02/2013,$2000.00,$1500.00,"removal of old furnace and replacement with a new furnace and associated venting, gas valve, and chimney pipe work"
Bryan Hanson / Trust 02-1-8055,3345 W. Chicago Ave.,Chicago/Central Park,10/03/2013,$13000.00,$9750.00,"windows, facade"
Phoenix Bean LLC,5438 N. Broadway,Bryn Mawr/Broadway,10/03/2013,$45000.00,$14575.00,"walls, doors, bathroom, finish plumbing, finish electrical, and concrete flooring"
"6928 S. Pulaski, LLC",6928 S. Pulaski Rd. ,63rd/Pulaski,10/10/2013,$43600.00,$32700.00,tuck-pointing and windows
"112 N Green Street Restaurant, LLC",112 N Green St,Near West,11/12/2013,$255150.00,$66666.67,"rough plumbing and water service, HVAC, carpentry and drywall, framing, concrete work, kitchen exhaust systems and electrical work"
"Begyle Brewing, LLC",1800 W. Cuyler #1E,Ravenswood,11/12/2013,$136903.91,$68451.96,"excavation and concrete work, plumbing work, rough carpentry, drywall, HVAC and ductwork, electrical, and installation of boiler"
Ron Wu Inc. / Ron Wu Photo,1017 W. Washington Blvd. Suite 3A,Near West,11/13/2013,$65235.62,$48926.72,"framing, drywall, insulation, flooring, cabinetry, HVAC, lighting, plumbing"
Baron's Shoes,3101 West 111th Street,111th/Kedzie,11/14/2013,$36250.00,$27187.50,"Roofing, gutters and downspouts"
Paasche Airbrush Company,4311 N. Normandy Ave.,Read/Dunning,11/14/2013,$153547.00,$76773.50,"energy efficient lighting retrofit, EnergyStar compliant HVAC systems, and parking lot improvements"
Sahara Medical Center,2054 W Devon,Devon/Western,11/14/2013,$165000.00,$123750.00,"façade, signage, ceiling, HVAC, buildout"
Chrisoula Haralampopoulos,160 N. Halsted ,Near West,11/15/2013,$135721.94,$100000.00,"facade, roofing, windows"
Cog Supply Inc, 2714 E 79th St.,Avalon Park/South Shore,11/15/2013,$175359.84,$100000.00,"removal of chimney, carpentry and framing work for interior build out including new walls, floors, tiling, ceilings, drywall and insulation, countertops, doors, 4 new bathrooms, concrete work, HVAC, electrical, plumbing work, painting and finishing and signage"
Experimental Station,6100 S. Blackstone Avenue,Woodlawn,11/15/2013,$142995.00,$100000.00,"installation of a solar panel array on the roof, masonry and tuckpointing work all around the exterior of the building"
Studio 3G,1017 W. Washington Blvd. Suite 3G,Near West,11/15/2013,$71900.00,$50000.00,"framing, drywall, carpentry, plumbing, framing, electrical, flooring, lighting, kitchen, doors. "
"K Industries, Inc. dba Veg Head",4064 N. Lincoln Ave.,Western Ave South,11/19/2013,$60975.01,$45731.26,"walk-in cooler (materials and labor), architectural services, rough plumbing for sinks, ice maker supply, and drainage
rough electrical to install two outlets and 200 amp service"
"Cavoto Insurance Agency, Inc. (Farmers)",948 W. Madison St.,Near West,12/05/2013,$75345.00,$50000.00,"a remodel of office including drywall, rough and finish carpentry, electrical, plumbing, flooring, cabinetry and countertops, new entry door and glass, signage, painting and finishing"
"TGMG, LLC",800-8 W. Randolph St.,Near West,12/06/2013,$134848.80,$100000.00,"HVAC system (furnaces, louvers, dampers, thermostats, duct work, grills, registers, diffusers, repairs to existing rooftop unit); plumbing for second floor tenant space; masonry repairs to exterior of 800-8 W. Randolph (demolition, installation of new face brick, tuckpointing, cleaning, patch deteriorated stones, painting, cut away roofing material at parapets and install new wood top plate, new capping at parapets); scaffolding expenses"
Vision Boutique,948 W Madison,Near West,12/10/2013,$1800.00,$1350.00,removal and replacement of storefront canvas awnings
Café Internet Latino Inc,4101 W. Armitage Ave.,Armitage/Pulaski,12/17/2013,$54400.00,$40800.00,"install metal-wood and wood fencing, frame a new exit opening and install aluminum door, demolish garages, move electrical pole, concrete for parking area, permit expenses"
"GreenWay Resource Recovery, LLC",2100 S. Kilbourn Ave.,Roosevelt/Cicero,12/17/2013,$52468.59,$26234.30,three-phase electrical service upgrades 
"M&M Quality Grinding, Inc.",6846 W. 60th Place,Harlem Industrial,12/17/2013,$98164.00,$49082.00,"roofing, garage door including necessary electrical work, and sewer repairs"
"Mercury Maintenance, Inc.",2940 N Cicero Ave,Belmont/Cicero,12/17/2013,$133500.00,$100000.00,"work to the car wash facility only: solar thermal domestic hot water system, solar photovoltaic electrical system, and associated demolition, masonry, framing, and roofing work"
Six Corners Bistro,3930 N. Cicero Ave.,Portage Park,12/17/2013,$45328.41,$33996.31,"demolition, general contractor services
carpentry, plumbing materials, HVAC, demolition, electrical, materials expenses, architectural services"
Venetta Carter,8619-23 S. Cottage Grove Ave.,87th/Cottage Grove,12/17/2013,$33320.00,$24990.00,new roof and new gutters
Del Kar Pharmacy ,3714-26 W 16th ,Midwest,12/18/2013,$119000.00,$89250.00,"masonry and tuckpointing work, concrete work, windows and doors, plumbing, electrical, carpentry and framing"
ABC Dance Academy,4444-6 N. Milwaukee Ave.,Jefferson Park,12/18/2013,$26502.07,$19876.55,"framing, drywall, drop ceiling, doors, flooring, partial electrical work, lighting, HVAC, and painting"
"Brandenburger Plumbing, Inc.",3247 W. 111th St.,111th/Kedzie,12/18/2013,$147000.00,$36750.00,"purchase and acquisition of property located at 3247 W. 111th St., a vacant commercial property which is adjacent to property currently owned; plan of use is the renovation 3247 W. 111th St. for office and storage functionality for the use of Brandenburger Plumbing, Inc."
Colemans BBQ #2,5754 W. Chicago Ave.,Austin Commercial,12/18/2013,$159103.28,$100000.00,"masonry work including tuckpointing and lintel replacements, removal of deteriorated second floor of building, installation of new roof, parapet walls, framing and drywall work, concrete and gravel work, electrical, HVAC work including new kitchen exhaust system, new ceilings, flooring and tiling, and architectural services"
Forest Glen Animal Hospital ,5330 N. Elston Ave. ,Elston/Armstrong,12/18/2013,$173375.00,$100000.00,"complete building systems (plumbing, electrical, and HVAC system), interior renovations including framing, drywall, ceiling, counter tops, cabinets, epoxy flooring system, concrete work, doors, baths, and storefront windows"
Jewelry Design Ltd. dba Under The Wire ,2210 S. Halsted St.,Pilsen ,12/18/2013,$116040.00,$77147.50,"masonry, tuck-pointing, basement build-out, carpentry, drywall, painting, electrical work, plumbing, HVAC, drain tile and sump pump, roofing, downspouts,  and gutters, waterproof basement walls, and concrete flooring"
"M & M Coin Laundry, Inc.",4937 N. Damen ,Western Ave North,12/18/2013,$140700.00,$100000.00,"new flooring, doors, metal work, carpentry, new bathroom, rooftop HVAC units, electrical work, lighting, ceiling tiles, plumbing, water heater, roofing, and parking lot sealing"
"Meade, Roach, and Annulis, LLP / Aegis Center","4147 N. Ravenswood Ave., Ste. 200",Ravenswood,12/18/2013,$21227.00,$10613.50,"new windows for 4147 N. Ravenswood, Ste. 200: demolition and disposal, provide and install 27 windows including frames, material, and labor"
"112 N Green Street Restaurant, LLC",112 N Green St,Near West,12/19/2013,$256015.00,$33333.33,HVAC work including exhaust hoods and duct installations and rough and finish electrical work
"Conecta Group, Inc.",2450 W. Division St.,Humboldt Park,12/19/2013,$129033.55,$96775.16,"plumbing including relocation of bathroom, electrical and light fixtures, mechanical/ventilation work, new framing and carpentry work, drywall and insulation, flooring and tiling, doors and interior glass partitions, ceiling tiles, new walls, painting and finishing, and soft costs including architectural fees"
"Denise Allen Robinson, Inc. DBA Neesh By D.A.R. 7 ",4510 N. Ravenswood ,Ravenswood,12/19/2013,$33461.00,$16730.50,replacement of windows
"K Industries, Inc. dba Veg Head",4064 N. Lincoln Ave.,Western Ave South,12/19/2013,$11525.00,$4268.74,"hardwood flooring, vinyl tile flooring, GC services, demolition, remove and reinstall door, install FRP panels, drywall, and painting"
Polly Prim Cleaners,4632-4644 S. Cicero Ave.,Cicero/Archer,12/19/2013,$157600.00,$100000.00,"storefront renovations, masonry and limestone repairs, parking lot improvements, HVAC work, electrical and light fixtures, hot water heater, ceiling repairs, drywall, flooring, and installation of a new exterior door"
Kye Su Kim,3944-3960 W. Lawrence & 4801-09 N. Pulaski,Lawrence/Pulaski,12/20/2013,$82227.27,$41113.64,"tuckpointing, parapet and masonry repairs (includes replacement of brick with color-matched materials when applicable), install new guard rails, concrete work (for parking lot, landings, and rear sidewalk), roofing, parking lot improvements"
"Chicago Booth Manufacturing, Inc.",5000 W Roosevelt Rd,Roosevelt/Cicero,01/02/2014,$10780.00,$5390.00,electrical system upgrades (includes associated demolition and ceiling work) and plumbing (including washrooms)
"6928 S. Pulaski, LLC",6928 S. Pulaski Rd. ,63rd/Pulaski,01/08/2014,$28050.00,$21037.50,"Framing, drywall, HVAC, plumbing, electrical, flooring, bathrooms,"
En Las Tablas Performing Arts,4111 W. Armitage Ave.,Armitage/Pulaski,01/08/2014,$50284.30,$37713.23,"expansion of the dance floor space which included structural work including new beams and reinforcement of joists, leveling, new laminate flooring, rough carpentry and framing, façade improvements to entry door, siding replacement, steel lintel, and windows, and electrical, gas line, plumbing, painting and finishing work"
"Precision Forming and Stamping Company, Inc.",2419 W. George,Addison South,01/09/2014,$22000.00,$11000.00,"resurfacing parking lot, removal of steel stairs in parking lot and striping"
"Katz & Miller LLP, now known as Katz, LLC",2723 W. Touhy,Touhy/Western,01/14/2014,$14933.33,$11200.00,"complete build-out including building systems (HVAC, plumbing, electrical), framing, drywall, flooring, insulation, painting, drop ceiling, bathrooms, and kitchen build-out"
West Humboldt Park Family & Community Development Council ,3506 W. Chicago Ave. ,Chicago/Central Park,01/15/2014,$70602.00,$14600.00,"a new storefront, carpentry, framing, drywall, ceilings, floors, flooring, painting, HVAC system, electrical, lighting, and plumbing"
Beverly Area Planning Association,11107 S Longwood,Western/Rock Island,01/17/2014,$32100.00,$24075.00,"new signage, installation of new side entry door with new frame, and installation of new HVAC rooftop unit"
Frank A Edmunds Co.,6111 S. Sayre ,Harlem Industrial,01/22/2014,$6900.00,$3450.00,fix/replace dock area
" Stop and Shop For U, Inc. dba Frozen Foods",333 W. North Ave. #F,Near North,01/28/2014,$78700.00,$50000.00,"an interior build out of a start-up convenience store called Frozen Foods including rough and finish electrical and lighting, plumbing and fixtures, HVAC duct work, flooring and tiling, drop ceilings, drywall and insulation, rough and finish carpentry, exterior signage and new glass for windows and doors, painting and finishing"
"HP53, LLC dba A10",1466 E. 53rd St.,53rd Street,01/28/2014,$393300.60,$15614.67,"finishing of restaurant build out including plumbing, electrical, HVAC and exhaust systems work, finish carpentry and millwork, flooring, ceilings, FRP installations, stairwells, masonry work, painting and finishing"
Blue Buddha Boutique,1127 W. Granville Ave.,Hollywood/Sheridan,01/29/2014,$28000.00,$21000.00,"interior renovations to front retail area and jewelry design classroom spaces including new flooring, carpentry, framing, drywall, ceilings, electrical work and lighting"
"Spectra Merchandising International, Inc. ",4230 N. Normandy ,Read/Dunning,01/29/2014,$24826.72,$12413.36,"Parking lot, landscaping, security camera, dock lighting, sprinkler system"
Beverly Professional Building,10540 S Western,Western/Rock Island,01/30/2014,$28127.00,$14063.50,landscaping work and façade repairs including stucco work
Jeffery Manor Auto Wash Inc,2544 E. 95th St.,Commercial Avenue,01/30/2014,$49954.00,$37465.50,electrical renovations to vaccum islands and light pole; new entry and storm doors; new windows; demolition of chain link fencing and installation of metal fencing; demolition and replacement of concrete retaining wall; incidental masonry repair needed for new windows; furnish and install roll up overhead door and associated electrical wiring; façade repairs; permit expenses
Sean Ghassemi,407 W. North Ave.,Near North,02/03/2014,$24870.00,$17490.00,"façade repairs including window capping, installation of new deck/capping on cornice, parapet wall repairs including tuckpointing, steel, wood and sheet metal repairs, painting and finishing"
Safran Metals Inc,1685 N Elston,North Branch South,02/06/2014,$172916.00,$79418.88,"demolition and renovation of locker room area to accommodate modular offices (includes electrical and plumbing), engineering services, wall/façade reconstruction, industrial rolling steel door"
Complete Car Care,3424 W. 111th St.,111th/Kedzie,02/11/2014,$59650.00,$44737.50,"roofing, parking lot improvements"
"Classic Vending, Inc. dba Chicago Coffees & Teas",2155 S. Carpenter St.,Pilsen,02/13/2014,$158304.00,$64696.35,"balance of renovations: loading dock renovations, demolition, framing, doors, masonry repairs, cabinets, painting, counters, GC services, plumbing,
loading dock renovations (concrete, railings and stairs)"
Petra Manufacturing,6600 W Armitage,Galewood/Armitage,02/14/2014,$28728.00,$14364.00,energy efficient lighting retrofitt
"6928 S. Pulaski, LLC",6928 S. Pulaski Rd. ,63rd/Pulaski,02/15/2014,$66396.00,$46262.50,"framing, drywall, HVAC, plumbing, electrical, flooring, bathroom renovations"
Beverly Area Planning Association,11107 S Longwood,Western/Rock Island,02/21/2014,$157122.48,$75925.00,"removing old parking lot pavement and installing a new parking lot with permeable pavement, landscaping, fencing and trash enclosure, storm water sewer improvements, curbs, gutters, and striping"
