name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,hotline_prompt,hotline1,hotline2,website,dir_prefix,dir_first,dir_mi,dir_last,dir_suffix,dir_title,dir_phone,dir_fax,dir_email,mail_street1,mail_street2,mail_city,mail_state,mail_zip,mail_zip4,latitude,longitude,type_facility,last_update,saf,mhf,mhsaf,ghf,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,onat,np,sf,md,mc,si,pi,mi,ihs,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo 
Human Resources Development Institute,Brass l Medication Assisted Treatment,340 East 51st Street,,Chicago,IL,60615,,Cook,773-966-0333,Intakes,773-966-0333-4508,773-966-0333-7300,,,,http://www.hrdi.org,,Noviel,,Sims,,,,,,,,,,,,41.802247,-87.617707,SA,2/1/17 17:30,1,,,,1,1,1,1,1,,,,1,,,1,1,,,,,,,,1,1,,1,1,,,1,,,,1,,,,1,1,,1,1,,,,,,1,,,,,,,1,1,1,,,1,,1,,,,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,1,1,,1,,1,1,,,,,,,1,1,1,1,,1,,
"Dr. Dale John Giolas, M.D.",,1995 Hicks Road,,Rolling Meadows,IL,60008,,Cook County,(847)359-9120,,,,,,,,Dr.,Dale,John,Giolas,M.D.,,(847)359-9120,(847)359-9223,,1995 Hicks Road,,Rolling Meadows,IL,60008,,42.0897,-88.0344,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Joanna  Poniatowicz, M.D.",,Northwest Community Hospital,800 Central Road,Arlington Heights,IL,60005,,Cook County,(847)618-4070,,,,,,,,,Joanna,,Poniatowicz,M.D.,,(847)618-4070,(847)618-4102,,Northwest Community Hospital,800 Central Road,Arlington Heights,IL,60005,,42.0674,-87.9936,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Mohammed Turab Ali, M.D.",,800 West Central Road,,Arlington Heights,IL,60005,,Cook County,(847)618-2725,,,,,,,,,Mohammed,Turab,Ali,M.D.,,(847)618-2725,(847)618-2709,,800 West Central Road,,Arlington Heights,IL,60005,,42.0674,-87.9936,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Wayne David Kelly, M.D.",,1883 Hicks Road,Suite A,Rolling Meadows,IL,60008,,,847-359-9432,,,,,,,,,Wayne,David,Kelly,M.D.,,847-359-9432,847-359-9437,,1883 Hicks Road,Suite A,Rolling Meadows,IL,60008,,42.0903,-88.0344,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Shalu P. Gugnani, M.D.",,901 West Kirchoff Road,Suite 353,Arlington Heights,IL,60005,,Cook County,847-814-2160,,,,,,,,Dr.,Shalu,P.,Gugnani,M.D.,,847-814-2160,847-844-8052,,901 West Kirchoff Road,Suite 353,Arlington Heights,IL,60005,,42.07,-87.9948,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bobby E Wright CBHC,Addictions Program,9 South Kedzie Avenue,,Chicago,IL,60612,,Cook,773-722-7900-4051,Intakes,773-722-7900-4064,773-722-7900-4084,,,,http://www.cbhc.org,Dr,Rashad,K,Saafir,,,,,,9 South Kedzie Avenue,3rd Floor,Chicago,IL,60612,,41.880679,-87.706071,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,1,,,,,,1,1,1,,1,,,1,1,1,1,,,,,1,,,,,,,1,,1,1,1,,,,1,,,,,,,,,1,1,1,1,1,1,,1,,,,1,,1,,1,1,1,,,,
" Haidari  Shikari, M.D.",,9 South Kedzie,Suite 312,Chicago,IL,60612,,Cook County,(773)722-7900x4108,,,,,,,,,Haidari,,Shikari,M.D.,,(773)722-7900x4108,(773)584-4007,,9 South Kedzie,Suite 312,Chicago,IL,60612,,41.8806,-87.7058,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Raymond Joseph Baxter, M.D.",,5359 West Fullerton Ave,,Chicago,IL,60639,,Cook County,(773)836-2785,,,,,,,,Dr.,Raymond,Joseph,Baxter,M.D.,,(773)836-2785,(773)836-7383,,5359 West Fullerton Ave,,Chicago,IL,60639,,41.9238,-87.7608,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A Safe Haven,,7346 South Kingston Street,,Chicago,IL,60649,,Cook,312-372-6707-132,Intake,773-435-8300,,,,,http://asafehaven.org,,Heather,,Gomez,,CEO/Manager,773-430-8300,,,2750 West Roosevelt Road,,Chicago,IL,60608,,41.761425,-87.563554,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,1,1,,1,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,,,1,1,,1,1,1,1,,,,
A Safe Haven,,7346 South Kingston Avenue,,Chicago,IL,60649,,Cook,312-372-6707-132,Intake,773-435-8300,,Hotline,312-372-3820,,http://www.asafehaven.org,Ms,Renell,,Jordon,,Executive Director,,,,,,,,,,41.7615,-87.563542,SA,2/1/17 17:30,,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,1,1,1,,,1,,,1,1,,1,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,1,1,,1,1,1,,,,
"Dr. Dora  Dixie, M.D.",,"Day by Day Health Consultants, P.C.","5421 South Cornell Avenue,  Unit 13,  Suite 1",Chicago,IL,60615,,Cook County,(773)241-7900,,,,,,,,Dr.,Dora,,Dixie,M.D.,,(773)241-7900,(773)241-7880,,"Day by Day Health Consultants, P.C.","5421 South Cornell Avenue,  Unit 13,  Suite 1",Chicago,IL,60615,,41.8004,-87.6038,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Rajeswar  Rajagopalan, M.D.",,"Clinical Associates, S.C.","125 South Wilke Road, Suite 100",Arlington Heights,IL,60005,,Cook County,(847)253-6180,,,,,,,,Dr.,Rajeswar,,Rajagopalan,M.D.,,(847)253-6180,(847)253-4410,,"Clinical Associates, S.C.","125 South Wilke Road, Suite 100",Arlington Heights,IL,60005,,42.0806,-88.0042,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Joseph P. Mazzei, M.D.",,Evolutions Behavioral Health,"115 South Wilke Road, Suite 100",Arlington Heights,IL,60005,,Cook County,(855)875-4357,,,,,,,,Dr.,Joseph,P.,Mazzei,M.D.,,(855)875-4357,(847)327-3883,,Evolutions Behavioral Health,"115 South Wilke Road, Suite 100",Arlington Heights,IL,60005,,42.0812,-88.0044,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Counseling Center of Illinois Inc,,115 South Wilke Road,Suite 203,Arlington Heights,IL,60005,,Cook,(773) 777-6767,,,,,,,http://www.duiillinois.com,,Anna,,Jankowska,,,,,,,,,,,,42.081158,-88.00431,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,,,1,,1,1,1,1,1,,,,
"Dr. Marek  Walczyk, M.D.",,5519 North Cumbarland,Suite 1016,Chicago,IL,60656,,Cook County,(708)224-8840,,,,,,,,Dr.,Marek,,Walczyk,M.D.,,(708)224-8840,(773)594-7720,,5519 North Cumbarland,Suite 1016,Chicago,IL,60656,,41.9799,-87.8354,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Roueen  Rafeyan, M.D.",,4455 South King Drive,Suite 101,Chicago,IL,60653,,Cook County,(773)536-2700,,,,,,,,,Roueen,,Rafeyan,M.D.,,(773)536-2700,(773)536-2703,,4455 South King Drive,Suite 101,Chicago,IL,60653,,41.8132,-87.6159,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Obidike A. Nwakudu, M.D.",,Crest Clinic,2219 West Taylor Street,Chicago,IL,60612,,Cook County,(312)733-9106,,,,,,,,Dr.,Obidike,A.,Nwakudu,M.D.,,(312)733-9106,(312)733-9124,,Crest Clinic,2219 West Taylor Street,Chicago,IL,60612,,41.8689,-87.682,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DUI Counseling Center/Wilke Commons,,17 North Wilke Road,,Arlington Heights,IL,60005,,Cook,847-632-1740,Intake,,847-459-8879,,,,http://www.duicounseling.com,,John,J,Reed,BS CADC,President,,,,,,,,,,42.0832765,-88.0046022,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,1,,1,,,1,1,1,1,,,1,
Above and Beyond Fam Recovery Ctr,,2942 West Lake Street,,Chicago,IL,60612,1924,Cook,773-940-2960,,,,,,,,,Dan,,Hostetler,,,773-682-6067,,,2942 West Lake Street,,Chicago,IL,60612,1924,41.884179,-87.700582,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,,1,1,,,1,1,1,1,,,,
DUI Metropolitan Services Inc,,6254 West Addison Street,,Chicago,IL,60634,,Cook,773-481-9750,Intake,,773-775-2928,,,,http://www.duimetropolitanservices.com,,Andres,,Robles,,Owner,,,,,,,,,,41.945788,-87.783553,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,1,,,1,1,1,1,,,,
Lutheran Social Services of Illinois,Behavioral Health Services,5825 West Belmont Avenue,,Chicago,IL,60634,,Cook,773-637-0487,,,,,,,http://www.lssi.org,Mrs,Ritu,N,Reimer,,,,,,,,,,,,41.93850556,-87.77233631,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,1,,,,,1,,,,1,1,,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,,1,
Mathers Clinic LLC,,145 South Virginia Street ,Suite B,Crystal Lake,IL,60014,7226,McHenry,815-444-9999,,,,,,,http://www.themathersclinic.com,,Ramesh,B,Vemuri,,President,,,,,,,,,,42.237272,-88.339513,SA,2/1/17 17:30,,,1,,1,1,,,,,,,1,1,1,1,,,,,,,1,,,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,1,,1,1,,,1,,1,,,,,1,,,,,1,,,,,1,,1,,,1,1,,,,,,,,1,1,1,1,,1,,1,1,,,1,,1,,1,1,1,,,1,
"Dr. Krishdeep  Khosla, M.D.",,654 East 47th Street,,Chicago,IL,60653,,Cook County,(773)624-4800,,,,,,,,Dr.,Krishdeep,,Khosla,M.D.,,(773)624-4800,(773)624-5023,,654 East 47th Street,,Chicago,IL,60653,,41.8097,-87.6093,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DUI Alternatives Treatment Center Inc,,2551 North Laramie Avenue,Suite 1-S,Chicago,IL,60639,,Cook,773-463-0500,,,,,,,,,Judith,,Hernandez,,President,,,,2656 West Montrose Avenue,Suite 103,Chicago,IL,60638,,41.927474,-87.756165,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,1,,1,,1,1,1,1,1,,,1,1
Knew Expectations and Associates Inc,,710 East 47th Street ,Suite 203,Chicago,IL,60653,4202,Cook,773-270-1211,,,,,,,,,Mora,,Spicer,,Owner,404-720-4056,,,,,,,,,41.809681,-87.608386,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,,,1,,1,1,1,,,1,
" Ahmed  Shafi, M.D.",,Pilsen Addiction Program,1870 South Blue Island Avenue,Chicago,IL,60608,,Cook County,(312)738-3355,,,,,,,,,Ahmed,,Shafi,M.D.,,(312)738-3355,(312)564-5252,,Pilsen Addiction Program,1870 South Blue Island Avenue,Chicago,IL,60608,,41.8562,-87.6629,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rincon Family Services,,3809 West Grand Avenue,,Chicago,IL,60651,,Cook,773-276-0200x6148,Intakes,773-276-0200x6156,773-276-0200-6156,,,,http://www.rinconfamilyservices.org,,Eddy, ,Borrayo,"MSW, CADC, MISA",,,,,,,,,,,41.9041306,-87.7220206,SA,2/1/17 17:30,,,1,,1,1,1,1,1,,,,,,,,1,,,,,,,,1,1,,1,,,1,,,,,1,,,,,1,,1,1,,,,,,1,,,,,,,1,,1,,,1,,,,,,1,1,,1,1,,,,1,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,1,,1,,,1,,,,1,,,1,1,1,1,,1,1,
"Dr. Yetunde O. Johnson, M.D.",,c/o Jesse Brown VAMC,"820 S Damen Avenue, Rm 2218 -DDTC",Chicago,IL,60612,,Cook County,(312)569-7495,,,,,,,,Dr.,Yetunde,O.,Johnson,M.D.,,(312)569-7495,,,c/o Jesse Brown VAMC,"820 S Damen Avenue, Rm 2218 -DDTC",Chicago,IL,60612,,41.8817,-87.6926,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Sajoy Purathumuriyil Varghese, M.D.",,Jesse Brown VA Medical Center,820 South Damen Avenue,Chicago,IL,60612,,Cook County,(847)412-8367,,,,,,,,Dr.,Sajoy,Purathumuriyil,Varghese,M.D.,,(847)412-8367,(312)569-6144,,Jesse Brown VA Medical Center,820 South Damen Avenue,Chicago,IL,60612,,41.8702,-87.6777,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Paul W. Harris, M.D.",,Jesse Brown VA,820 South Damen Avenue,Chicago,IL,60612,,Cook County,(773)710-8267,,,,,,,,Dr.,Paul,W.,Harris,M.D.,,(773)710-8267,(312)569-6105,,Jesse Brown VA,820 South Damen Avenue,Chicago,IL,60612,,41.8702,-87.6777,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jesse Brown Addiction Programs,Drug Dependency Trt Center (DDTC),820 South Damen Avenue,"Taylor Pavillion, Suite 2225",Chicago,IL,60612,,Cook,312-569-8387x57484,Intakes,312-569-6297,312-569-6879,,,,http://www.chicago.va.gov,Dr,Ron,,Socha,,,,,,,,,,,,41.8702237,-87.6776848,SA,2/1/17 17:30,1,,,,1,,1,1,,1,1,,1,1,1,1,1,,,,,,,1,1,1,,1,1,,,1,,,,1,,,,,1,,1,1,,,,1,,,1,,,,,,,,,,1,,,,,,,1,,1,,1,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,,1,,,,,1,,,1,1,1,1,1,1,,
"Dr. Keia Kishelle Hobbs, ",,1220 S Wood Street,,Chicago,IL,60608,,Orange County,(312)996-2000,,,,,,,,Dr.,Keia,Kishelle,Hobbs,,,(312)996-2000,(312)413-7818,,1220 S Wood Street,,Chicago,IL,60608,,41.8664,-87.672,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Leila  Hagshenas, M.D.",,Mile Square Health Center (MC 698),1220 South Wood Street,Chicago,IL,60608,,Cook,312-996-2000,,,,,,,,Dr.,Leila,,Hagshenas,M.D.,,312-996-2000,312-996-2000,,Mile Square Health Center (MC 698),1220 South Wood Street,Chicago,IL,60608,,41.8664,-87.672,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Youth Outreach Services,Irving Park,6417 West Irving Park Road,,Chicago,IL,60634,,Cook,773-777-7112,,,,,,,http://www.yos.org,,Jessica,,Mayans,,Director,,,,,,,,,,41.95284554,-87.78692559,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,1,,,,1,1,,1,,,,,1,,,,1,,,1,1,,,,1,,1,,,,,1,,,1,,,,,,,,,1,1,1,,,1,,1,1,,,1,,1,,1,1,1,,,,
Harbor Light Alcoholism and Drug ,Dependence Services,825 North Christiana Avenue,,Chicago,IL,60651,4110,Cook,312-667-2200,,,,,,,,,Merill,,Powers,,Executive Director,312-421-5753,,,,,,,,,41.896521,-87.709903,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,1,1,1,1,,,1,,,1,1,1,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,1,1,,,,,1,,1,,,,,1,,1,1,,,1,,,,,,,,,,,1,1,,1,1,1,1,1,1,,,1,,1,,1,1,1,,,1,
